,label,density,lat,lon,clusters,spread,neighborhood
0,0,5.275200000000001,42.33671139999987,-71.0475002,42,12.560000000000002,South Boston/Waterfront
1,1,0.3816,42.335395399999875,-71.0459263,4,9.54,South Boston/Waterfront
2,2,2.7177000000000002,42.342580899999874,-71.0567801,23,11.81608695652174,South Boston/Waterfront
3,3,7.850800000000002,42.350307199999875,-71.0481199,79,9.937721518987345,South Boston/Waterfront
4,4,3.9602,42.34661419999988,-71.0438821,35,11.314857142857143,South Boston/Waterfront
5,5,4.6333,42.350123899999886,-71.0422442,38,12.192894736842106,South Boston/Waterfront
6,6,5.700600000000001,42.34861359999987,-71.0384623,36,15.835000000000004,South Boston/Waterfront
7,7,29.885099999999984,42.35246289999987,-71.046572,186,16.06725806451612,South Boston/Waterfront
8,8,0.6137999999999999,42.34917989999986,-71.0497101,6,10.229999999999999,South Boston/Waterfront
9,9,1.8585000000000003,42.34799689999987,-71.0399359,15,12.390000000000002,South Boston/Waterfront
10,10,3.7994000000000003,42.35167819999988,-71.0437975,45,8.443111111111111,South Boston/Waterfront
11,11,1.0172,42.35045689999986,-71.0508653,10,10.172,South Boston/Waterfront
12,12,3.367,42.34358079999987,-71.0451898,20,16.835,South Boston/Waterfront
13,13,0.4028,42.34452649999987,-71.0442477,4,10.07,South Boston/Waterfront
